ID,FORM,SEGM,XPOSTAG
o.3.2,ur-mes-ta,Urmes[1][-ak]-ta,PN.GEN.ABS
o.4.1,ur-{d}dumu-zi,Urdumuzi[1][-e],PN.ERG
r.1.1,szu,szu[hand][-e],N.L3-NH
r.1.2,ba-ti,ba[-n]-teg[accept][-ø],MID.3-SG-H-A.V.3-SG-P
r.2.1,iti,iti[month],N
r.2.2,szu-gar-gal,Szugargal[1][-'a],MN.L1
o.1.1,1(disz),1(disz)[one],NU
o.1.2,udu,udu[sheep],N
o.1.3,niga,niga[fattened][-ø][-ø],NF.V.ABS.ABS
o.1.4,ba-usz2,ba-usz[die][-ø],MID.V.3-SG-S
o.2.1,ki,ki[place],N
o.2.2,an-na-hi-li-bi-ta,Annahilibi[1][-ak]-ta,PN.GEN.ABL
o.3.1,kiszib3,kiszib[seal],N
o.3.2,lu2-kal-la,Lukala[1][-ak],PN.GEN
o.4.1,iti,iti[month],N
o.4.2,pa4-u2-e,Pa'u'e[1][-'a],MN.L1
r.1.1,mu,mu[year],N
r.1.2,en-unu6-gal,Enunugal[1],PN
r.1.3,{d}inanna,Inanna[1][-ak][-ø],DN.GEN.ABS
r.1.4,ba-hun,ba-hug[hire][-ø],MID.V.3-SG-S
s1.1.1,lu2-kal-la,Lukala[1],PN
s1.2.1,dub-sar,dubsar[scribe],N
s1.3.1,dumu,dumu[child],N
s1.3.2,ur-e11-e,Ure'e[1],PN
s1.3.3,szusz3,kusz[cattle_manager][-ak],N.GEN
o.1.1,1(gesz'u),1(gesz'u)[six_hundred],NU
o.1.2,sa,sa[bundle],N
o.1.3,pa-ku5,pakud[stave],N
o.2.1,gu-nigin2-ba,gunigin[bale]-bi-'a,N.3-SG-NH-POSS.L1
o.2.2,3(disz),3(disz)[one],NU
o.2.3,sa-ta,sa[bundle]-ta,N.ABL
o.3.1,4(disz),4(disz)[one],NU
o.3.2,{gesz}dal,dal[crossbar],N
o.4.1,1(gesz'u),1(gesz'u)[six_hundred],NU
o.4.2,5(gesz2),5(gesz)[sixty],NU
o.4.3,2(u),2(u)[ten],NU
o.4.4,sa,sa[bundle],N
o.4.5,ma-nu,manu[wood_type],N
o.5.1,gu-nigin2-ba,gunigin[bale]-bi-'a,N.3-SG-NH-POSS.L1
o.5.2,1(u),1(u)[ten],NU
o.5.3,2(disz),2(disz)[one],NU
o.5.4,sa-ta,sa[bundle]-ta,N.ABL
o.6.1,nig2-ba,nigba[gift],N
o.6.2,lugal,lugal[king][-ak][-ø],N.GEN.ABS
o.7.1,sig4-te-la2-ni,Sigtelani[1][-e],PN.ERG
o.7.2,szu,szu[hand][-e],N.L3-NH
o.7.3,ba-ti,ba[-n]-teg[accept][-ø],MID.3-SG-H-A.V.3-SG-P
o.8.1,giri3,giri[foot],N
o.8.2,szu-ma-ma,Szumama[1],PN
o.8.3,lu2,lu[person],N
o.8.4,kin-gi4-a,kiggia[messenger],N
o.8.5,lugal,lugal[king][-ak][-ak],N.GEN.GEN
o.9.1,lu2-tur-tur,Luturtur[1],PN
o.9.2,dub-sar,dubsar[scribe][-ø],N.ABS
o.9.3,maszkim,maszkim[administrator][-ø],N.ABS
r.1.1,3(u),3(u)[ten],NU
r.1.2,gu-nigin2-ba,gunigin[bale]-bi-'a,N.3-SG-NH-POSS.L1
r.1.3,pa-ku5,pakud[stave][-ø],N.ABS
r.2.1,ur-{d}nin-lil2-la2,Urninlila[1],PN
r.3.1,sukkal,sukkal[secretary][-ra],N.DAT-H
r.3.2,lu2-dingir-ra,Ludingira[1][-e],PN.ERG
r.3.3,szu,szu[hand][-e],N.L3-NH
r.3.4,ba-ti,ba[-n]-teg[accept][-ø],MID.3-SG-H-A.V.3-SG-P
r.4.1,lu2,lu[person],N
r.4.2,ARAD2,Arad[1][-ak][-ø],PN.GEN.ABS
r.4.3,ka(SAG)-guru7,kaguruk[granary_supervisor][-ø],N.ABS
r.6.1,ki,ki[place],N
r.6.2,ur-sila-luh-ta,Ursilaluh[1][-ak]-ta,PN.GEN.ABL
r.7.1,kiszib3,kiszib[seal],N
r.7.2,ensi2-ka,ensik[ruler]-ak,N.GEN
r.8.1,mu,mu[year],N
r.8.2,{d}amar-{d}suen,Amarsuen[1][-ø],RN.ABS
r.8.3,lugal,lugal[king][-ø],N.ABS
s1.col1.1.1,{d}szul-gi,Szulgir[1],RN
s1.col1.2.1,nita,nita[male],N
s1.col1.2.2,kal-ga,kalag[strong]-a,NF.V.PT
s1.col1.3.1,lugal,lugal[king],N
s1.col1.3.2,uri5{ki}-ma,Urim[1]-ak,SN.GEN
s1.col1.4.1,lugal,lugal[king],N
s1.col1.4.2,an-ub-da,anubda[quarter],N
s1.col1.4.3,limmu2-ba,limmu[four]-bi-ak[-ø],NU.3-SG-NH-POSS.GEN.ABS
s1.col2.1.1,ur-{d}li9-si4,Urlisi[1],PN
s1.col2.2.1,ensi2,ensik[ruler],N
s1.col2.3.1,umma{ki},Umma[1][-ak][-ø],SN.GEN.ABS
s1.col2.4.1,ARAD2-zu,arad[slave]-zu[-ø],N.2-SG-POSS.ABS
o.1.1,x,_[_],_
o.1.2,sze,sze[unit],N
o.1.3,...,_[_],_
o.2.1,la2-ia3-ta,la'u[arrears]-ta,N.ABL
o.2.2,su-ga,sug[repay]-a,NF.V.PT
o.3.1,ISZ-su{ki},Iszsu[1],SN
o.3.2,...,_[_],_
o.4.1,ki,ki[place],N
o.4.2,lu2-sa6-i3-zu-ta,Lusa'izu[1][-ak]-ta,PN.GEN.ABL
o.5.1,...-x-ni,_[1][-e],PN.ERG
r.1.1,szu,szu[hand][-e],N.L3-NH
r.1.2,ba-ti,ba[-n]-teg[accept][-ø],MID.3-SG-H-A.V.3-SG-P
r.2.1,iti,iti[month],N
r.2.2,dal,Dal[1][-'a],MN.L1
r.3.1,mu,mu[year],N
r.3.2,us2-sa,us[follow]-a,NF.V.PT
r.3.3,bad3,bad[wall],N
r.3.4,ba-du3,ba-du[build][-ø],MID.V.3-SG-S
a.1.1,lugal-ezem,Lugalezem[1],PN
a.2.1,dub-sar,dubsar[scribe],N
a.3.1,dumu,dumu[child],N
a.3.2,ur-kun,Urkun[1][-ak],PN.GEN
o.1.1,di,did[lawsuit],N
o.1.2,til-la,til[complete]-a,NF.V.PT
o.2.1,1(disz),1(disz)[one],NU
o.2.2,geme2-{d}ig-alim,Geme'igalim[1],PN
o.2.3,dumu,dumu[child],N
o.2.4,nam-mah,Nammah[1][-ak][-'a],PN.GEN.L2-NH
o.2.5,SIG7-a-ra,Sigara[1],PN
o.3.1,mar-tu,Martu[1],EN
o.3.2,dumu,dumu[child],N
o.3.3,lu2-nigin6{ki}-ke4,Lunigin[1]-ak-e,PN.GEN.ERG
o.4.1,inim,inim[word][-ø],N.ABS
o.4.2,in-ni-gar-ra,i-nn-i-n-gar[claim][-ø]-a,FIN.3-SG-H.L2.3-SG-H-A.V.3-SG-P.SUB
o.5.1,geme2-mu,geme[female_worker]-gu[-ø],N.1-SG-POSS.ABS
o.5.2,ni,ni[self][-ø],N.ABS
o.5.3,i3-me-a,i-me[be][-ø]-a,FIN.V.3-SG-S.SUB
o.6.1,i3-bi2-za-asz,ibiza[financial_loss]-sze,N.TERM
o.6.2,e2-gal-e,egal[palace]-e,N.DAT-NH
o.6.3,ma-ab-szum2-ma,mu-a-b-szum[give][-e][-a],VEN.DAT.3-SG-NH-P.V.3-SG-A.SUB
o.7.1,gu3-de2-a,Gude'a[1],PN
o.7.2,ab-ba-iri,abba'iri[city_elder],N
o.8.1,lu2-gir2-su{ki},Lugirsu[1],PN
o.9.1,ur-x-da,_[1],PN
o.9.2,ugula,ugula[overseer],N
o.9.3,kas4,kas[runner][-ak][-ø],N.GEN.ABS
o.10.1,maszkim-bi-me,maszkim[administrator]-bi[-ø]-mesz[-a][-ø],N.3-SG-NH-POSS.ABS.COP-3-PL.SUB.ABS
o.10.2,bi2-in-du11,b-i-n-dug[speak][-ø],3-SG-NH.L3.3-SG-H-A.V.3-SG-P
o.11.1,en3,en[word][-ø],N.ABS
o.11.2,ba-ne-tar-ra,ba-nne-tar[ask][-ø]-a,MID.3-PL-DAT.V.3-SG-S.SUB
o.12.1,mu,mu[name],N
o.12.2,inim-bi,inim[matter]-bi[-ø],N.3-SG-NH-POSS.ABS
o.12.3,nu-u3-zu,nu-i[-n]-zu[know][-esz][-a][-ø],NEG.FIN.3-SG-H-A.V.3-PL.SUB.ABS
o.12.4,bi2-in-ne2-sza-sze3,bi-i-n-e[speak]-esz-a[-ak]-sze,3-SG-NH.L2.3-SG-H-A.V.PL.3-PL.SUB.GEN.TERM
o.13.1,geme2,geme[female_worker][-ø],N.ABS
o.13.2,lu2-gu2-gal,Lugugal[1],PN
o.13.3,dumu,dumu[child],N
o.13.4,lu2-{d}ba-ba6-ka,Lubaba[1]-ak[-ra],PN.GEN.DAT-H
o.14.1,ba-na-gi-in,ba-nn-a-gin[comfirm][-ø],MID.3-SG-H.DAT.V.3-SG-S
o.15.1,erin-da,Erinda[1][-ø],PN.ABS
o.15.2,maszkim,maszkim[administrator][-ø],N.ABS
o.16.1,lu2-{d}szara2,Luszara[1],PN
o.17.1,lu2-eb-gal,Lu'ebgal[1],PN
o.18.1,ur-{d}isztaran,Uristaran[1][-ø],PN.ABS
o.18.2,di-ku5-bi-me,dikud[judge]-bi[-ø]-mesz,N.3-SG-NH-POSS.ABS.COP-3-PL
o.19.1,gu3-de2-a,Gude'a[1],PN
o.19.2,dumu,dumu[child],N
o.19.3,szagina,szakkanak[governor][-ak],N.GEN
o.20.1,...,_[_],_
o.20.2,x,_[1],PN
o.20.3,dumu,dumu[child],N
o.20.4,ur-{d}lamma,Urlamma[1][-ak][-ø],PN.GEN.ABS
o.21.1,lu2,lu[person],N
o.21.2,mar-za,marza[rites],N
o.21.3,ki-ba,ki[place]-bi-'a,N.3-SG-NH-POSS.L1
o.21.4,tusz-sza-me,tusz[sit]-a[-ø]-mesz,NF.V.PT.ABS.COP-3-PL
o.22.1,mu,mu[year],N
o.22.2,bad3,bad[wall],N
o.22.3,mar-tu,Martu[1][-ø],N.ABS
o.22.4,ba-du3,ba-du[build][-ø],MID.V.3-SG-S
o.1.1,1(gesz2),1(gesz)[sixty],NU
o.1.2,2(u),2(u)[ten],NU
o.1.3,geme2,geme[female_worker],N
o.1.4,x,_[_],_
o.2.1,iti,iti[month],N
o.2.2,1(u),1(u)[ten],NU
o.2.3,2(disz)-sze3,2(disz)[one]-sze,NU.TERM
o.3.1,a2-bi,a[labor]-bi[-ø],NU.3-SG-NH-POSS.ABS
o.3.2,u4,ud[day],N
o.3.3,8(szar2),8(szar)[thirty-six_hundred][-ø],NU.ABS
o.4.1,sza3-bi-ta,szag[heart]-bi-ta,N.3-SG-NH-POSS.ABL
o.5.1,2(u),2(u)[ten],NU
o.5.2,tug2,tug[textile],N
o.5.3,nig2-lam2,niglam[ceremonial_garment],N
o.5.4,3(disz)-kam,3(disz)[one]-ak-am,NU.GEN.COP-3-SG
o.5.5,us2,us[follow][-ø],NF.V.ABS
o.6.1,geme2-bi,geme[female_worker]-bi[-ø],N.3-SG-NH-POSS.ABS
o.6.2,1(u),1(u)[ten],NU
o.6.3,3(disz),3(disz)[one],NU
o.6.4,1/3(disz)-am3,1/3(disz)[one][-ø]-am,NU.ABS.COP-3-SG
o.7.1,2(u),2(u)[ten],NU
o.7.2,tug2,tug[textile],N
o.7.3,nig2-lam2,niglam[ceremonial_garment],N
o.7.4,4(disz)-kam,4(disz)[one]-ak-am,NU.GEN.COP-3-SG
o.7.5,us2,us[follow][-ø],NF.V.ABS
o.8.1,geme2-bi,geme[female_worker]-bi[-ø],N.3-SG-NH-POSS.ABS
o.8.2,1(u)-am3,1(u)[ten][-ø]-am,NU.ABS.COP-3-SG
o.9.1,2(u),2(u)[ten],NU
o.9.2,tug2,tug[textile],N
o.9.3,nig2-lam2,niglam[ceremonial_garment],N
o.9.4,du,gin[quality_designation][-ø],NF.V.ABS
o.10.1,geme2-bi,geme[female_worker]-bi,N.3-SG-NH-POSS
o.10.2,6(disz),6(disz)[one],NU
o.10.3,2/3(disz),2/3(disz)[one],NU
o.11.1,1(gesz2),1(gesz)[sixty],NU
o.11.2,3(u),3(u)[ten],NU
o.11.3,tug2,tug[textile],N
o.11.4,guz-za,guza[chair][-ak],N.GEN
o.11.5,du,gin[quality_designation][-ø],NF.V.ABS
o.12.1,geme2-bi,geme[female_worker]-bi,N.3-SG-NH-POSS
o.12.2,2(u),2(u)[ten],NU
o.12.3,2(disz),2(disz)[one],NU
o.12.4,1/2(disz),1/2(disz)[one],NU
o.13.1,3(u),3(u)[ten],NU
o.13.2,5(disz),5(disz)[one],NU
o.13.3,tug2,tug[textile],N
o.13.4,sag,sag[front_side],N
o.13.5,usz-bar,uszbar[garment_type][-ak],N.GEN
o.13.6,...,_[_],_
r.1.1,geme2-bi,geme[female_worker]-bi,N.3-SG-NH-POSS
r.1.2,5(disz),5(disz)[one],NU
r.1.3,5/6(disz)-am3,5/6(disz)[one][-ø]-am,NU.ABS.COP-3-SG
r.2.1,3(u),3(u)[ten],NU
r.2.2,gada,gada[flax],N
r.2.3,du,gin[quality_designation][-ø],NF.V.ABS
r.3.1,geme2-bi,geme[female_worker]-bi,NU.3-SG-NH-POSS
r.3.2,1(u),1(u)[ten],NU
r.3.3,2(disz),2(disz)[one],NU
r.3.4,1/2(disz),1/2(disz)[one],NU
r.3.5,...,_[_],_
r.4.1,9(disz),9(disz)[one],NU
r.4.2,1(u),1(u)[ten],NU
r.4.3,gin2,gig[unit],N
r.4.4,geme2,geme[female_worker],N
r.4.5,2(u),2(u)[ten],NU
r.4.6,x-a,_[_],_
r.5.1,3(gesz2),3(gesz)[sixty],NU
r.5.2,3(u),3(u)[ten],NU
r.5.3,5(disz),5(disz)[one],NU
r.6.1,{gesz}tag,szerim[part_of_loom],NU
r.6.2,du3-a,du[build]-a,NF.V.PT
r.7.1,1(gesz'u),1(gesz'u)[six_hundred],NU
r.7.2,tug2,tug[textile],N
r.7.3,usz-bar,uszbar[garment_type],N
r.8.1,ki,ki[place],N
r.8.2,ensi2-ta,ensik[ruler][-ak]-ta,N.GEN.ABL
r.9.1,szunigin,szunigin[total],N
r.9.2,1(gesz'u),1(gesz'u)[six_hundred],NU
r.9.3,3(gesz2),3(gesz)[sixty],NU
r.9.4,3(u),3(u)[ten],NU
r.9.5,5(disz),5(disz)[one],NU
r.9.6,tug2,tug[textile],N
r.9.7,gada,gada[flax],N
r.9.8,hi-a,hi[mix]-a,NF.V.PT
r.10.1,geme2-bi,geme[female_worker]-bi[-ø],N.3-SG-NH-POSS.ABS
r.10.2,1(gesz2),1(gesz)[sixty],NU
r.10.3,2(u)-am3,2(u)[ten][-ø]-am,NU.ABS.COP-3-SG
o.1.1,4(u),4(u)[ten],NU
o.1.2,3(disz),3(disz)[one],NU
o.1.3,{gesz}tug2-gurx(|SZE.KIN|),tuggur[plow],N
o.2.1,ki,ki[place],N
o.2.2,lu2-igi-sa6-sa6-ta,Lu'igisasa[1][-ak]-ta,PN.GEN.ABL
o.3.1,na-ba-sa2,Nabasa[1][-e],PN.ERG
o.3.2,szu,szu[hand][-e],N.L3-NH
o.3.3,ba-ti,ba[-n]-teg[accept][-ø],MID.3-SG-H-A.V.3-SG-P
o.4.1,iti,iti[month],N
o.4.2,diri,dirig[excess][-'a],N.L1
r.1.1,mu,mu[year],N
r.1.2,ki-masz{ki},Kimasz[1][-ø],SN.ABS
r.1.3,ba-hul,ba-hulu[destroy][-ø],MID.V.3-SG-S
s1.1.1,na-ba-sa2,Nabasa[1],PN
s1.2.1,dub-sar,dubsar[scribe],N
s1.3.1,dumu,dumu[child],N
s1.3.2,ugu2-du6,Ugudu[1][-ak],PN.GEN
o.1.1,1(gesz2),1(gesz)[sixty],NU
o.1.2,2(u),2(u)[ten],NU
o.1.3,6(disz),6(disz)[one],NU
o.1.4,sar,sar[unit],N
o.1.5,1(u),1(u)[ten],NU
o.1.6,5(disz),5(disz)[one],NU
o.1.7,gin2,gig[unit],N
o.1.8,u2,u[grass],N
o.1.9,sahar-ba,sahar[earth]-bi-ak,N.3-SG-NH-POSS.GEN
o.2.1,kab2-ku5,kabkul[water_installation],N
o.2.2,a-u2-da-ta,A'uda[1][-ak]-ta,FN.GEN.ABL
o.3.1,kab2-ku5,kabkul[water_installation],N
o.3.2,u2-du-{d}nin-a-ra-li-sze3,Uduninarali[1][-ak]-sze,FN.GEN.TERM
o.4.1,2(gesz2),2(gesz)[sixty],NU
o.4.2,5(u),5(u)[ten],NU
o.4.3,9(disz),9(disz)[one],NU
o.4.4,2/3(disz),2/3(disz)[one],NU
o.4.5,sar,sar[unit],N
o.4.6,5(disz),5(disz)[one],NU
o.4.7,gin2,gig[unit],N
o.4.8,u2,u[grass],N
o.4.9,sahar-ba,sahar[earth]-bi-ak,N.3-SG-NH-POSS.GEN
o.5.1,kab2-ku5,kabkul[water_installation],N
o.5.2,ki-BAD-ta,Kibad[1][-ak]-ta,FN.GEN.ABL
o.6.1,kab2-ku5,kabkul[water_installation],N
o.6.2,u3-sur,Usur[1],GN
o.6.3,tir-sze3,tir[forest][-ak][-ak]-sze,N.GEN.GEN.TERM
o.7.1,2(gesz2),2(gesz)[sixty],NU
o.7.2,2(u),2(u)[ten],NU
o.7.3,6(disz),6(disz)[one],NU
o.7.4,5/6(disz),5/6(disz)[one],NU
o.7.5,sar,sar[unit],N
o.7.6,kin,kig[work],N
o.7.7,sahar,sahar[earth][-ak],N.GEN
o.8.1,i7,id[river],N
o.8.2,{d}nin-hur-sag-ka,Ninhursag[1]-ak[-'a],DN.GEN.L1
o.9.1,4(u),4(u)[ten],NU
o.9.2,6(disz),6(disz)[one],NU
o.9.3,1/3(disz),1/3(disz)[one],NU
o.9.4,sar,sar[unit],N
o.9.5,kin,kig[work],N
o.9.6,sahar,sahar[earth][-ak],N.GEN
o.10.1,kin,kig[work],N
o.10.2,szuku-ra,szukur[ration][-ak],N.GEN
o.10.3,engar,engar[farmer],N
o.10.4,nu-banda3-gu4,nubandagu[ox_overseer],N
o.10.5,u3,u[and],CNJ
o.10.6,sza3-sahar,szagsahar[earth_worker][-ak][-ak],N.GEN.GEN
o.11.1,e,eg[levee],N
o.11.2,sa-dur2-ra,sadurra[bottom],N
o.11.3,a-sza3,aszag[field],N
o.11.4,{d}nin-hur-sag-ka,Ninhursag[1]-ak-ak[-ak][-'a],DN.GEN.GEN.GEN.L1
r.1.1,2(u),2(u)[ten],NU
r.1.2,sar,sar[unit],N
r.1.3,1(u),1(u)[ten],NU
r.1.4,gin2,gig[unit],N
r.1.5,kin,kig[work],N
r.1.6,sahar,sahar[earth][-ak],N.GEN
r.2.1,i7,id[river],N
r.2.2,u3-wa-ri-da,Uwarida[1][-'a],WN.L1
r.3.1,6(disz),6(disz)[one],NU
r.3.2,1/2(disz),1/2(disz)[one],NU
r.3.3,sar,sar[unit],N
r.3.4,kin,kig[work],N
r.3.5,sahar,sahar[earth][-ak],N.GEN
r.3.6,e,eg[levee],N
r.3.7,sa-dur2-ra,sadurra[bottom],N
r.3.8,a-sza3,aszag[field],N
r.3.9,iszib-e-ne,Iszibene[1][-ak][-ak][-'a],FN.GEN.GEN.L1
r.4.1,szunigin,szunigin[total],N
r.4.2,8(gesz2),8(gesz2)[sixty],NU
r.4.3,5(disz),5(disz)[one],NU
r.4.4,5/6(disz),5/6(disz)[one],NU
r.4.5,sar,sar[unit],N
r.4.6,kin,kig[work],N
r.5.1,sahar,sahar[earth][-ak],N.GEN
r.5.2,zi-ga,zig[issue]-a,NF.V.PT
r.6.1,ugula,ugula[overseer],N
r.6.2,da-da,Dada[1],PN
r.7.1,mu,mu[year],N
r.7.2,an-sza-an{ki},Anszan[1][-ø],GN.ABS
r.7.3,ba-hul,ba-hulu[destroy][-ø],MID.V.3-SG-S
o.1.1,na-ni,Nani[1],PN
o.2.1,u3-na-a-du11,u-nn-a-e-dug[speak][-ø],ANT.3-SG-H.DAT.2-SG-A.V.3-SG-P
o.3.1,5(asz),5(asz)[one],NU
o.3.2,sze,sze[barley],N
o.3.3,gur,gur[unit],N
o.3.4,lugal,lugal[king][-ak],N.GEN
o.4.1,sze,sze[barley],N
o.4.2,ur5-ra,urra[loan][-ak],N.GEN
r.1.1,lugal-me-lam2,Lugalmelam[1],PN
r.1.2,dumu,dumu[child],N
r.1.3,ur-ma-ma,Urmama[1][-ak],PN.GEN
r.2.1,in-na-szum2-ma,i-nn-a[-n]-szum[give][-ø][-a]-'a,FIN.3-SG-H.DAT.3-SG-H-A.V.3-SG-P.SUB.L1
r.3.1,lu2,lu[person][-ø],N.ABS
r.3.2,na-ba-du3,nan-ba[-e]-du[hold][-ed][-ø],MOD.MID.L2.V.PF.3-SG-S
o.1.1,1(u),1(u)[ten],NU
o.1.2,7(disz),7(disz)[one],NU
o.1.3,gurusz,gurusz[male],N
o.1.4,u4,ud[day],N
o.1.5,1(disz)-sze3,1(disz)[one]-sze,NU.TERM
o.2.1,kab2-ku5,kabkul[water_installation],N
o.2.2,gu4-suhub2,Gusuhub[1],FN
o.2.3,gub-ba,gub[assigned]-a[-ak][-sze],NF.V.PT.GEN.TERM
o.3.1,6(disz),6(disz)[one],NU
o.3.2,sar,sar[unit],N
o.3.3,1(u),1(u)[ten],NU
o.3.4,5(disz),5(disz)[one],NU
o.3.5,gin2,gig[unit],N
o.3.6,sahar,sahar[earth],N
o.4.1,3(u),3(u)[ten],NU
o.4.2,gurusz,gurusz[male],N
o.4.3,u4,ud[day],N
o.4.4,1(disz)-sze3,1(disz)[one]-sze,NU.TERM
o.5.1,{u2}har-an,haran[plant],N
o.5.2,ga6-ga2,gag[carry]-a[-sze],NF.V.PT.TERM
o.6.1,5(disz),5(disz)[one],NU
o.6.2,gurusz,gurusz[male],N
o.6.3,u4,ud[day],N
o.6.4,1(disz)-sze3,1(disz)[one]-sze,NU.TERM
o.7.1,kab2-ku5-a,kabkul[water_installationr]-'a[-sze],N.L1.TERM
o.7.2,a,a[water],N
o.7.3,de2-a,de[pour]-a,NF.V.PT
r.1.1,kab2-ku5,kabkul[water_installation],N
r.1.2,u2-du-{d}nin-a-ra-li-ka,Uduninarali[1]-ak-ak,PN.GEN.GEN
r.2.1,ugula,ugula[overseer],N
r.2.2,ur-{d}da-mu,Urdamu[1],PN
r.3.1,kiszib3,kiszib[seal],N
r.3.2,inim-{d}inanna,Iniminanna[1][-ak],PN.GEN
r.4.1,mu,mu[year],N
r.4.2,{d}amar-{d}suen,Amarsuen[1],RN
r.4.3,lugal,lugal[king],N
s.1.1.1,inim-{d}inanna,Iniminanna[1],PN
S.1.2.1,dumu,dumu[child],N
S.1.2.2,lugal-iti-da,Lugalitida[1][-ak],PN.GEN
o.1.1,1(gesz2),1(gesz)[sixty],NU
o.1.2,gur,gur[unit],N
o.1.3,ziz2,ziz[emmer],N
o.2.1,ur-{d}dumu-zi-da,Urdumuzida[1],PN
o.2.2,umma{ki},Umma[1][-ak][-ra],SN.GEN.DAT-H
o.3.1,1(barig),1(bariga)[unit],N
o.3.2,sze,sze[unit],N
o.3.3,1(barig),1(bariga)[unit],N
o.3.4,ziz2,ziz[emmer],N
o.4.1,ur-{d}dumu-zi-da,Urdumuzida[1],PN
o.4.2,...{ki},_[1][-ak][-ra],SN.GEN.DAT-H
r.1.1,iti,iti[month],N
r.1.2,{d}dumu-zi,Dumuzi[1][-'a],MN.L1
r.2.1,mu,mu[year],N
r.2.2,{d}szu-{d}suen,Szusuen[1],RN
