,Text,NER
131,A-ab-a,PN
132,A-ab-ba,PN
133,A-ab-ba-a,PN
134,A-ab-ba-a-ta,PN
135,A-ab-ba-bi,PN
136,A-ab-ba-bi-ta,PN
137,A-ab-ba-ga,PN
138,A-ab-ba-gu-la,PN
139,A-ab-ba-ha-ma-ti,PN
140,A-ab-ba-ka,PN
141,A-ab-ba-ka-še3,PN
142,A-ab-ba-kal-la,PN
143,A-ab-ba-me,PN
144,A-ab-ba-mu,PN
145,A-ab-ba-mu-gen7,PN
146,A-ab-ba-mu-ta,PN
147,A-ab-ba-mu-še3,PN
148,A-ab-ba-ni,PN
149,A-ab-ba-ni-ka,PN
150,A-ab-ba-ni-ta,PN
151,A-ab-ba-si2-im-ti,PN
152,A-ab-ba-sig5,PN
153,A-ab-ba-ta,PN
154,A-ab-ba-zi-mu,PN
155,A-ab-ba-zi-mu-ta,PN
156,A-ab-ba-še3,PN
157,A-ab-ba:mu,PN
158,A-ab-bu-mu,PN
159,A-ab-du10-ga,PN
160,A-ab-e,PN
161,A-ab-gu-la,PN
162,A-ab-mi-ra-din,PN
163,A-ab-na-ša,PN
164,A-ab-u5-un,PN
165,A-ab-{d}Šul-gi,PN
166,A-ad-a-bi,PN
167,A-ad-da,PN
168,A-ad-da-BAD3-ri,PN
169,A-ad-da-a,PN
170,A-ad-da-ad,PN
171,A-ad-da-bi,PN
172,A-ad-da-hu,PN
173,A-ad-da-ka-ta-am3,PN
174,A-ad-da-kal-la,PN
175,A-ad-da-mu,PN
176,A-ad-da-ni-ra-am-an-ni,PN
177,A-ad-da-še3,PN
178,A-ad-du10-ga,PN
179,A-ad-kal-la,PN
180,A-ad2-gal,PN
181,A-ag-ga-mu,PN
182,A-ah-KAL.LA,PN
183,A-ah-zu,PN
184,A-al-NI,PN
185,A-al-NI-ta,PN
186,A-al-ba-ni-du11,PN
187,A-al-la,PN
188,A-al-la-i3-zu,PN
189,A-al-la-mu,PN
190,A-al-la-mu-ta,PN
191,A-al-la-mu-še3,PN
192,A-al-la-ni,PN
193,A-al-la-ni-tum,PN
194,A-al-la-ra,PN
195,A-al-la-ri,PN
196,A-al-la-ru,PN
197,A-al-la-ta,PN
198,A-al-li2-mu,PN
199,A-al-li2-ta,PN
200,A-al-lu,PN
201,A-al-lu-a,PN
202,A-al-lu-u2,PN
203,A-al-mu,PN
204,A-al-mu-ta,PN
205,A-al-ni,PN
206,A-al-ni-ta,PN
207,A-al-zu,PN
208,A-al-ša-na{ki},SN
209,A-am-ma,PN
210,A-ama-la-lum,PN
211,A-ambar,PN
212,A-ambar-es3-sa2,PN
213,A-ambar-tur,PN
214,A-ambar{ki},SN
215,A-ambar{ki}-ta,SN
216,A-an,PN
217,A-an-du,PN
218,A-an-na,PN
219,A-an-na-a,PN
220,A-an-na-a-mu,PN
221,A-an-na-bi,PN
222,A-an-na-mu,PN
223,A-an-na-mu-ta,PN
224,A-an-na-ti,PN
225,A-an-ni-mu,PN
226,A-ar-ha-aš,PN
227,A-ar-ka,PN
228,A-ar-pa2-tal,PN
229,A-at-ta,PN
230,A-at-ti,PN
231,A-at-ti-a,PN
232,A-aš-an-ne2,PN
233,A-aš-gi4-pa3-da-aš,PN
234,A-aš-gi4-pa3-da-ta,PN
235,A-aš-gi4-pa3-da-še3,PN
236,A-aš-ki-pa3,PN
237,A-aš-ki-pa3-še3,PN
238,A-aš-ki-pa3{ki}-še3,SN
239,A-ba,PN
240,A-ba-DI.A,PN
241,A-ba-DINGIR,PN
242,A-ba-HI,PN
243,A-ba-NAG-nu-mu-ni-KA,PN
244,A-ba-a,PN
245,A-ba-a-a,PN
246,A-ba-a-a-mu,PN
247,A-ba-a-a-mu-gen7,PN
248,A-ba-a-gi6-i3-gi4-gi4,PN
249,A-ba-a-mu-gen7,PN
250,A-ba-a-ta,PN
251,A-ba-a-še3,PN
252,A-ba-a2-GAN2-na,PN
253,A-ba-ab-ni,PN
254,A-ba-ad-da-gen7,PN
255,A-ba-al,PN
256,A-ba-al-la,PN
257,A-ba-al-la-ka,PN
258,A-ba-al-la-ta,PN
259,A-ba-al-la-še3,PN
260,A-ba-al-la-šu-um,PN
261,A-ba-al-ta,PN
262,A-ba-al{ki},SN
263,A-ba-an,PN
264,A-ba-an-da-sa2,PN
265,A-ba-an-da-sa2-ta,PN
266,A-ba-an-hu-me,PN
267,A-ba-an-i3-li2,PN
268,A-ba-an-ne-an,PN
269,A-ba-an-ne2-in-si3-ge-en6,PN
270,A-ba-an-ne2-si3-ge,PN
271,A-ba-ar-da,PN
272,A-ba-ar-du-uk,PN
273,A-ba-ar-ni-um{ki},SN
274,A-ba-at,PN
275,A-ba-at-i3-li2,PN
276,A-ba-ba,PN
277,A-ba-ba-ni-du,PN
278,A-ba-ba-tum,PN
279,A-ba-bi2-dim2,PN
280,A-ba-bi2-um,PN
281,A-ba-bu-um,PN
282,A-ba-bu-um-še3,PN
283,A-ba-da-sa2,PN
284,A-ba-da-sa2-me,PN
285,A-ba-da-sa2-ta,PN
286,A-ba-di-DU.NI,PN
287,A-ba-di-ba-ni,PN
288,A-ba-di-ni,PN
289,A-ba-dingir-ga2-gen7,PN
290,A-ba-dingir-gen7,PN
291,A-ba-dingir-mu-gen7,PN
292,A-ba-dingir-šeš-gen7,PN
293,A-ba-du10-ga,PN
294,A-ba-e-ne,PN
295,A-ba-e-ta-ni,PN
296,A-ba-gal,PN
297,A-ba-gal-,PN
298,A-ba-gal-da,PN
299,A-ba-gal-gu-la,PN
300,A-ba-gal-gu-la-da,PN
301,A-ba-gal-gu-la-ka,PN
302,A-ba-gal-ka,PN
303,A-ba-gal-pisan-{giš}i3-šub-ba,PN
304,A-ba-gal-ta,PN
305,A-ba-gal-{d}En-lil2,PN
306,A-ba-gal-{d}En-lil2-la2,PN
307,A-ba-gal-{d}En-lil2-la2-da,PN
308,A-ba-gal-{d}En-lil2-la2-ta,PN
309,A-ba-gal-{d}En-lil2-še3,PN
310,A-ba-ge-na-ta,PN
311,A-ba-gi6-i3-gi4-gi4,PN
312,A-ba-ha-ma-ti,PN
313,A-ba-hu,PN
314,A-ba-i3-da-e3,PN
315,A-ba-i3-du10-ge,PN
316,A-ba-in-da-an-e3,PN
317,A-ba-in-da-e3,PN
318,A-ba-in-da-ne,PN
319,A-ba-in-zu,PN
320,A-ba-ki,PN
321,A-ba-ki-du-ni,PN
322,A-ba-ki-e,PN
323,A-ba-ki-ni,PN
324,A-ba-ki-ni-ta,PN
325,A-ba-ki-uru-ni,PN
326,A-ba-la,PN
327,A-ba-la-ša,PN
328,A-ba-lu5,PN
329,A-ba-lu5-ge2,PN
330,A-ba-lugal-mu,PN
331,A-ba-lugal-mu-gen7,PN
332,A-ba-mu,PN
333,A-ba-na,PN
334,A-ba-na-ak-tum,PN
335,A-ba-nam-DU,PN
336,A-ba-nam-DU-in,PN
337,A-ba-nam-TAG-i3-BAD,PN
338,A-ba-nam-TAG-in-BAD,PN
339,A-ba-nam-tag-ni,PN
340,A-ba-nan-tag-in-BAD,PN
341,A-ba-ne-LAGAB-ta,PN
342,A-ba-ne-gen7,PN
343,A-ba-ne-gen7-še3,PN
344,A-ba-ne2-si3-ge,PN
345,A-ba-ni,PN
346,A-ba-ni-DINGIR,PN
347,A-ba-ni-SAR-ge,PN
348,A-ba-ni-a,PN
349,A-ba-ni-da-NE-ke4,PN
350,A-ba-ni-i3-si3-ge-me,PN
351,A-ba-ni-si3-ge,PN
352,A-ba-ni-si3-ge-e,PN
353,A-ba-nin-gen7,PN
354,A-ba-nin-mu-gen7,PN
355,A-ba-ra,PN
356,A-ba-ri,PN
357,A-ba-ri-šum,PN
358,A-ba-sa6,PN
359,A-ba-sa6-ga,PN
360,A-ba-sa6-ga-ta,PN
361,A-ba-sig5,PN
362,A-ba-su-na,PN
363,A-ba-sukud,PN
364,A-ba-ti,PN
365,A-ba-ti-in,PN
366,A-ba-um,PN
367,A-ba-zi-ka,PN
368,A-ba-zu,PN
369,A-ba-{d}Ba-u2-gen7,PN
370,A-ba-{d}Dumu-zi-gen7,PN
371,A-ba-{d}En-lil2,PN
372,A-ba-{d}En-lil2-gen7,PN
373,A-ba-{d}En-lil2-gen7-ta,PN
374,A-ba-{d}En-lil2-gen7-še3,PN
375,A-ba-{d}En-lil2-gin7,PN
376,A-ba-{d}En-lil2-la2,PN
377,A-ba-{d}En-lil2-la2-gen7,PN
378,A-ba-{d}En-lil2-la2-gen7-ta,PN
379,A-ba-{d}Lamma-gen7,PN
380,A-ba-{d}Nanna,PN
381,A-ba-{d}Nanna-gen7,PN
382,A-ba-{d}Nin-MAR.KI-gen7,PN
383,A-ba-{d}Nin-dar-a-gen7,PN
384,A-ba-{d}Nin-gal-gen7,PN
385,A-ba-{d}Nin-gir2-su-gen7,PN
386,A-ba-{d}Utu-gen7,PN
387,A-ba-{d}en-lil2-gen7,PN
388,A-ba-{d}Šara2-gen7,PN
389,A-ba-{d}Šara2-gen7-ta,PN
390,A-ba-{d}Šara2-ta,PN
391,A-ba-{d}Šul-gi-gen7,PN
392,A-ba-še3-DU.NI,PN
393,A-ba-šeš-mu-gen7,PN
394,A-ba-šu,PN
395,A-ba-šu-an-da-du,PN
396,A-ba-šu-luh-{d}Inanna,PN
397,A-ba-šu-na,PN
398,A-ba-šu-na-ta,PN
399,A-ba-šu-ud-NE-AN,PN
400,A-bar-šum,PN
401,A-bi,PN
402,A-bi-DU10,PN
403,A-bi-a,PN
404,A-bi-a-a,PN
405,A-bi-a-bi-ih,PN
406,A-bi-a-ti,PN
407,A-bi-ba-num2,PN
408,A-bi-bi-a,PN
409,A-bi-du10,PN
410,A-bi-ga-ru-e,PN
411,A-bi-i3-li2,PN
412,A-bi-in-za,PN
413,A-bi-la,PN
414,A-bi-la-ak-ta,PN
415,A-bi-li-bur,PN
416,A-bi-ma,PN
417,A-bi-ma-a,PN
418,A-bi-nu-ri,PN
419,A-bi-nu-um,PN
420,A-bi-si2-im-ti,PN
421,A-bi-{d}UTU{ši},PN
422,A-bi-ša-ru-um,PN
423,A-bi-ša-ru-um-e,PN
424,A-bi2,PN
425,A-bi2-,PN
426,A-bi2-AN,PN
427,A-bi2-DINGIR,PN
428,A-bi2-DINGIR-su,PN
429,A-bi2-DU10,PN
430,A-bi2-DU10-ta,PN
431,A-bi2-E2,PN
432,A-bi2-GIŠ,PN
433,A-bi2-KAL,PN
434,A-bi2-NE.NE,PN
435,A-bi2-SIG5,PN
436,A-bi2-UD,PN
437,A-bi2-UD.IŠ,PN
438,A-bi2-a,PN
439,A-bi2-a-NI,PN
440,A-bi2-a-bi-ih,PN
441,A-bi2-a-bi2-ih,PN
442,A-bi2-a-hi,PN
443,A-bi2-a-li2,PN
444,A-bi2-a-mu-ti,PN
445,A-bi2-a-num2,PN
446,A-bi2-a-pi-ih,PN
447,A-bi2-a-ta,PN
448,A-bi2-a-ti,PN
449,A-bi2-a-ti-ka,PN
450,A-bi2-a-ti-kam,PN
451,A-bi2-a-ti-ke4,PN
452,A-bi2-a-ti-ta,PN
453,A-bi2-ba-na{ki},SN
454,A-bi2-ba-ni,PN
455,A-bi2-da,PN
456,A-bi2-dam,PN
457,A-bi2-dur2-mah,PN
458,A-bi2-e-lum,PN
459,A-bi2-hu-um,PN
460,A-bi2-i3-li2,PN
461,A-bi2-in-tu-ni,PN
462,A-bi2-iš-ki-in,PN
463,A-bi2-iš-qi2-il,PN
464,A-bi2-ki-in,PN
465,A-bi2-ki-me-am3,PN
466,A-bi2-ku-num2,PN
467,A-bi2-ma,PN
468,A-bi2-ma-ta,PN
469,A-bi2-na-ni,PN
470,A-bi2-nu-a,PN
471,A-bi2-nu-ri,PN
472,A-bi2-ri-ṣi,PN
473,A-bi2-sa-ad,PN
474,A-bi2-sa-du,PN
475,A-bi2-sa-tum,PN
476,A-bi2-sa6-sa6,PN
477,A-bi2-si-im-ti,PN
478,A-bi2-si-in-DI,PN
479,A-bi2-si-ni-DI,PN
480,A-bi2-si2-bi-ti,PN
481,A-bi2-si2-im-de3,PN
482,A-bi2-si2-im-ti,PN
483,A-bi2-si2-im-ti-,PN
484,A-bi2-si2-im-ti-e,PN
485,A-bi2-si2-im-ti-kam,PN
486,A-bi2-si2-im-ti-ra,PN
487,A-bi2-si2-im-ti-ta,PN
488,A-bi2-si2-im-ti-še3,PN
489,A-bi2-ta,PN
490,A-bi2-tu-kul2-ti,PN
491,A-bi2-tum,PN
492,A-bi2-tum-e,PN
493,A-bi2-za,PN
494,A-bi2-zu,PN
495,A-bi2-zu-zi,PN
496,A-bi2-{d}En-lil2,PN
497,A-bi2-{d}Suen,PN
498,A-bi2-{d}UTU,PN
499,A-bi2-še-im-ti,PN
500,A-bi2-šu,PN
501,A-bi2-ṭa-ab,PN
502,A-bi3-DU10,PN
503,A-bir-AŠ3tenu,PN
504,A-bu,PN
505,A-bu-DIB-NI,PN
506,A-bu-DINGIR,PN
507,A-bu-DU10,PN
508,A-bu-DU10-ta,PN
509,A-bu-DU10-um,PN
510,A-bu-DU10-še3,PN
511,A-bu-PI,PN
512,A-bu-ZA,PN
513,A-bu-a,PN
514,A-bu-an-ne2,PN
515,A-bu-ba-gar3,PN
516,A-bu-ba-ni,PN
517,A-bu-ba-qar,PN
518,A-bu-bu,PN
519,A-bu-da,PN
520,A-bu-da-a,PN
521,A-bu-da-ab,PN
522,A-bu-da-ab2,PN
523,A-bu-du8,PN
524,A-bu-i3-lum,PN
525,A-bu-la-ad{ki},SN
526,A-bu-ma,PN
527,A-bu-mi-DINGIR,PN
528,A-bu-mi-lum,PN
529,A-bu-mi-um,PN
530,A-bu-mu,PN
531,A-bu-na,PN
532,A-bu-ni,PN
533,A-bu-ni-KU.KU,PN
534,A-bu-ni-a,PN
535,A-bu-ni-ka,PN
536,A-bu-ni-ma,PN
537,A-bu-ni-ra,PN
538,A-bu-ni-ta,PN
539,A-bu-ni-šu,PN
540,A-bu-nu-gen7,PN
541,A-bu-ru-um,PN
542,A-bu-u3-ta,PN
543,A-bu-um,PN
544,A-bu-um-DINGIR,PN
545,A-bu-um-DINGIR-ma,PN
546,A-bu-um-DINGIR-su2,PN
547,A-bu-um-DINGIR-ta,PN
548,A-bu-um-DINGIR-še3,PN
549,A-bu-um-DINGIR{lum},PN
550,A-bu-um-ba-qar,PN
551,A-bu-um-i3-li2,PN
552,A-bu-um-i3-lum,PN
553,A-bu-um-ma,PN
554,A-bu-um-mi-šar,PN
555,A-bu-um-mi-šar3,PN
556,A-bu-um-{d}Dumu-zi,PN
557,A-bu-zu-ni,PN
558,A-bu-{da}DU10,PN
559,A-bu-{ta3}DU10,PN
560,A-bu-{ṭa}DU10,PN
561,A-bu-šu,PN
562,A-bu-šu-ni,PN
563,A-bu-šu-nu,PN
564,A-bu3,PN
565,A-bu3-,PN
566,A-bu3-DA-UM,PN
567,A-bu3-Du-du,PN
568,A-bu3-Du-du-,PN
569,A-bu3-LUGAL,PN
570,A-bu3-a,PN
571,A-bu3-bu2,PN
572,A-bu3-bu3,PN
573,A-bu3-da,PN
574,A-bu3-du-du,PN
575,A-bu3-du10,PN
576,A-bu3-i-šar,PN
577,A-bu3-ka,PN
578,A-bu3-kam,PN
579,A-bu3-na,PN
580,A-bu3-ni,PN
581,A-bu3-ta,PN
582,A-bu3-um-ba-qar,PN
583,A-bu3-{d}Du-du,PN
584,A-bu3-še3,PN
585,A-bu3-šu-ni,PN
586,A-bu3-šu-ni-ta,PN
587,A-bu3-ṭa-ab,PN
588,A-buhu-um-me-lum,PN
589,A-buₓ(|KA×ŠE|)-šu-ni,PN
590,A-da,PN
591,A-da-DU-mu,PN
592,A-da-a,PN
593,A-da-a-gal,PN
594,A-da-a-ka-ta,PN
595,A-da-ab-a-ti-šu,PN
596,A-da-ah,PN
597,A-da-al-še-en6,PN
598,A-da-am,PN
599,A-da-an-Eš4-tar2,PN
600,A-da-ba-ni,PN
601,A-da-be-li2,PN
602,A-da-bum2,PN
603,A-da-da,PN
604,A-da-du,PN
605,A-da-dub-ki,PN
606,A-da-ga,PN
607,A-da-ga-an,PN
608,A-da-ga-ta,PN
609,A-da-ga-še3,PN
610,A-da-gal,PN
611,A-da-gal-di,PN
612,A-da-gara2-e,PN
613,A-da-gu-la,PN
614,A-da-hi,PN
615,A-da-i3-zu,PN
616,A-da-ka-al-la,PN
617,A-da-kal-la,PN
618,A-da-ku-um,PN
619,A-da-la2-a,PN
620,A-da-lal,PN
621,A-da-lal3,PN
622,A-da-lal3-a,PN
623,A-da-lal3-bi,PN
624,A-da-lal3-e,PN
625,A-da-lal3-ka,PN
626,A-da-lal3-me,PN
627,A-da-lal3-ta,PN
628,A-da-lal3-še3,PN
629,A-da-ma,PN
630,A-da-me-na,PN
631,A-da-me-ni,PN
632,A-da-mu,PN
633,A-da-mu-še3,PN
634,A-da-na-bi-ir,PN
635,A-da-na-tam,PN
636,A-da-nam,PN
637,A-da-ni,PN
638,A-da-ni-ta,PN
639,A-da-ra,PN
640,A-da-ra-hu-uh3{ki},SN
641,A-da-ra{ki},SN
642,A-da-ru-um,PN
643,A-da-si-in,PN
644,A-da-ta,PN
645,A-da-ti,PN
646,A-da-ti-ta,PN
647,A-da-tum,PN
648,A-da-ši-in,PN
649,A-da-šum{ki}-ma,SN
650,A-dam-DUN,PN
651,A-dam-DUN-ke4,PN
652,A-dam-DUN-ta,PN
653,A-dam-DUN-še3,PN
654,A-dam-DUN{ki},SN
655,A-dam-DUN{ki}-ka,SN
656,A-dam-DUN{ki}-ke4,SN
657,A-dam-DUN{ki}-me,SN
658,A-dam-DUN{ki}-ta,SN
659,A-dam-DUN{ki}-še3,SN
660,A-dan-na,PN
661,A-dar,PN
662,A-dar-šen,PN
663,A-di-a,PN
664,A-di3-na-dum,PN
665,A-dingir,PN
666,A-du,PN
667,A-du-a,PN
668,A-du-du,PN
669,A-du-du-ta,PN
670,A-du-lu2,PN
671,"A-du-lu2""",PN
672,A-du-ma,PN
673,A-du-mu,PN
674,A-du-mu-ka,PN
675,A-du-mu-ta,PN
676,A-du-mu-še3,PN
677,A-du-na2,PN
678,A-du-ta,PN
679,A-du-tum,PN
680,A-du-še3,PN
681,A-du10,PN
682,A-du10-ga,PN
683,A-du10-ga-NIGIN,PN
684,A-du10-ka,PN
685,A-du11-ge-bi,PN
686,A-du6-ki,PN
687,A-du8-du8,PN
688,A-dul9-la-ti,PN
689,A-e-bar,PN
690,A-e-bar-ka,PN
691,A-e-bar-ka{ki},SN
692,A-e-bar-ra,PN
693,A-e-bar-ra-ka,PN
694,A-e-bar-ra{ki},SN
695,A-e-bar-ra{ki}-še3,SN
696,A-e-bar{ki},SN
697,A-e-bar{ki}-ka,SN
698,A-e-li2,PN
699,A-esir2,PN
700,A-ga,PN
701,A-ga-ARAD2-še3,PN
702,A-ga-NI,PN
703,A-ga-a,PN
704,A-ga-a-ta,PN
705,A-ga-ab-si-in,PN
706,A-ga-am,PN
707,A-ga-am-me,PN
708,A-ga-bi-ta,PN
709,A-ga-da-ni,PN
710,A-ga-ga,PN
711,A-ga-ga-a,PN
712,A-ga-ga-ta,PN
713,A-ga-ga-še3,PN
714,A-ga-ga{ki}-me,SN
715,A-ga-hu-še3,PN
716,A-ga-lum,PN
717,A-ga-ma-a,PN
718,A-ga-mu-um,PN
719,A-ga-mu-um-ta,PN
720,A-ga-tar-sir2-sir2,PN
721,A-ga-ti,PN
722,A-ga-ti-a,PN
723,A-ga-ti-ma,PN
724,A-ga-tum,PN
725,A-ga-zu-igi-ka,PN
726,A-ga-{d}En-lil2-le,PN
727,A-gal-zi,PN
728,A-gal-zi-ga,PN
729,A-gar3-Umma{ki}-ta,SN
730,A-gar3-gibil,PN
731,A-gar3-kal-la,PN
732,A-gar3-tur,PN
733,A-gar3-tur-tur,PN
734,A-gaz{ki},SN
735,A-ge,PN
736,A-ge-na,PN
737,A-ge-na-še3,PN
738,A-ge-re,PN
739,A-gen7-ba-an-bi,PN
740,A-gen7-ba-nu-bi,PN
741,A-geštin,PN
742,A-geštin-KU-ba-ta,PN
743,A-geštin-e2,PN
744,A-geštin-ka,PN
745,A-geštin-na,PN
746,A-geštin-na-dab5-ba,PN
747,A-geštin-na-ka,PN
748,A-geštin-na-ka-še3,PN
749,A-geštin-na-pirig-gen7-du-us2-sa,PN
750,A-geštin-na-pirig-gen7-du-us2-sa-ta,PN
751,A-geštin-na-ta,PN
752,A-geštin-su3,PN
753,A-geštin-ta,PN
754,A-geštin-u6-Lugal-ku3-ga,PN
755,A-gi,PN
756,A-gi-gi,PN
757,A-gi-li-ta,PN
758,A-gi-pu-um,PN
759,A-gi-zi2{ki}-ta,SN
760,A-gi4,PN
761,A-gi4-a,PN
762,A-gi4-gi4,PN
763,A-gi4-ta,PN
764,A-gi4-um,PN
765,A-gi4-še3,PN
766,A-gid2-da,PN
767,A-gin2-ni-ta,PN
768,A-gizi,PN
769,A-gu,PN
770,A-gu-,PN
771,A-gu-RI,PN
772,A-gu-a,PN
773,A-gu-a-NI,PN
774,A-gu-a-li2,PN
775,A-gu-a-me,PN
776,A-gu-a-mu,PN
777,A-gu-a-ni,PN
778,A-gu-a-nix,PN
779,A-gu-a-nu-ri,PN
780,A-gu-a-si2-im-ti,PN
781,A-gu-a-ta,PN
782,A-gu-a-ti,PN
783,A-gu-da,PN
784,A-gu-du,PN
785,A-gu-du-du,PN
786,A-gu-du-ta,PN
787,A-gu-gu,PN
788,A-gu-gu-a,PN
789,A-gu-gu-ka-še3,PN
790,A-gu-gu-ni,PN
791,A-gu-gu-ta,PN
792,A-gu-gu-tum,PN
793,A-gu-gu-še3,PN
794,A-gu-i3-li2,PN
795,A-gu-ka,PN
796,A-gu-ma-tal,PN
797,A-gu-ni,PN
798,A-gu-ni-šu,PN
799,A-gu-nu-um,PN
800,A-gu-ta,PN
801,A-gu-za,PN
802,A-gu-za-an,PN
803,A-gu-za-ar,PN
804,A-gu-za-na,PN
805,A-gu-za-num2,PN
806,A-gu-zum,PN
807,A-gu-še3,PN
808,A-gu2-du8,PN
809,A-gu2-gi,PN
810,A-gu2-ra,PN
811,A-gu2-zi,PN
812,A-gu2-zi-me,PN
813,A-gu3,PN
814,A-gub-ba,PN
815,A-gub-ba-bi,PN
816,A-gub-ba-ga,PN
817,A-gub-ba-na,PN
818,A-gub-ba-na-ta,PN
819,A-gub-be2,PN
820,A-gur4-HU,PN
821,A-gur4-re,PN
822,A-ha-DINGIR-li2-šu,PN
823,A-ha-DINGIR-li2-šu-ta,PN
824,A-ha-a,PN
825,A-ha-a-tum,PN
826,A-ha-am-ar-ši,PN
827,A-ha-am-ar-ši2,PN
828,A-ha-am-wa-qar,PN
829,A-ha-an-ni-šu,PN
830,A-ha-an-ni-šu-ta,PN
831,A-ha-an-ni-šu-še3,PN
832,A-ha-an-si-pu,PN
833,A-ha-an-ti-bu,PN
834,A-ha-an-ši-bu,PN
835,A-ha-an-ši-bu-,PN
836,A-ha-an-ši-pu,PN
837,A-ha-an-ši2-bu,PN
838,A-ha-ar-ši-še3,PN
839,A-ha-ba-ni,PN
840,A-ha-du10,PN
841,A-ha-ma-ti,PN
842,A-ha-ni-zu,PN
843,A-ha-ni-ša,PN
844,A-ha-ni-šu,PN
845,A-ha-ni-šu-ta,PN
846,A-ha-ti,PN
847,A-ha-ti-DU10,PN
848,A-ha-ti-id,PN
849,A-ha-tum,PN
850,A-ha-zu-um,PN
851,A-ha-ši-pu,PN
852,A-ha-šu,PN
853,A-ha-šu-um,PN
854,A-hi-AN,PN
855,A-hi-DINGIR,PN
856,A-hi-DINGIR-ta,PN
857,A-hi-DU10,PN
858,A-hi-a,PN
859,A-hi-a-ni,PN
860,A-hi-a-u3,PN
861,A-hi-ba-aš-ti,PN
862,A-hi-ba-aš2-ti,PN
